Rank,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T12,Isiah Harwell,Houston,2025-26,,28,0,428,36,128,0.281,23,84,0.274,19,31,0.613,17,63,17,18,8,10,38,114,,2.3,0.6,4.1,,0.371,1.1
14,Braylon Mullins,UConn,2025-26,,24,20,649,106,241,0.44,56,154,0.364,20,23,0.87,21,81,31,26,15,27,71,288,,3.4,1.3,12,,0.556,2.5
15,Kingston Flemings,Houston,2025-26,,31,31,984,190,393,0.483,35,93,0.376,95,112,0.848,14,120,167,48,11,58,59,510,,3.9,5.4,16.5,,0.528,5.7
16,Nikolas Khamenia,Duke,2025-26,,31,5,573,57,127,0.449,27,82,0.329,25,39,0.641,29,100,34,19,2,27,53,166,,3.2,1.1,5.4,,0.555,2.2
17,Jalen Haralson,Notre Dame,2025-26,,27,23,718,155,301,0.515,5,25,0.2,122,181,0.674,40,107,69,14,7,74,66,437,,4,2.6,16.2,,0.523,2
18,Trey McKenney,Michigan,2025-26,,31,0,653,93,206,0.451,52,136,0.382,59,65,0.908,11,77,25,13,0,26,42,297,,2.5,0.8,9.6,,0.578,2.8
19,Cayden Boozer,Duke,2025-26,,31,4,641,71,142,0.5,15,51,0.294,43,55,0.782,9,62,88,25,3,37,41,200,,2,2.8,6.5,,0.553,2.8
20,Jasper Johnson,Kentucky,2025-26,,31,0,394,57,140,0.407,30,84,0.357,21,23,0.913,7,37,52,3,2,32,36,165,,1.2,1.7,5.3,,0.514,0.8
,,,,,Totals,,,,,,,,,,,,,,,,,,,,,Summary,,,,,
RSCI,Player,School(s),Yrs,,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,TRB,AST,PTS,,eFG%,WS
T20,Matthew Able,NC State,2025-26,,32,0,692,99,239,0.414,47,134,0.351,39,48,0.813,23,112,31,39,9,29,62,284,,3.5,1,8.9,,0.513,1.9
22,Shelton Henderson,Miami (FL),2025-26,,31,31,953,165,291,0.567,13,47,0.277,87,148,0.588,58,148,64,36,9,56,66,430,,4.8,2.1,13.9,,0.589,3.7
23,Shon Abaev,Cincinnati,2025-26,,24,12,381,52,155,0.335,26,101,0.257,37,57,0.649,13,69,26,9,5,29,27,167,,2.9,1.1,7,,0.419,0.7
