Rimfluence Rank,year,Player name,team,height_inches,class,possessions,Opp Net Rating,O Rimfluence,D Rimfluence,Rimfluence
717,2024,Daeshon Shepherd,La Salle,77,Jr,6479.0,0.3374000000000023,8.113458470275905,-1.518284310701336,6.595174159574569
718,2024,Joshua Hughes,Evansville,82,Fr,2122.0,1.8722999999999956,-1.6641701631008048,8.254584931548152,6.5904147684473475
719,2024,Sam Hoiberg,Nebraska,72,So,1947.0,7.766599999999997,-0.7220013235090326,7.292381528669773,6.570380205160741
720,2024,Christoph Tilly,Santa Clara,84,So,3742.0,-0.0910999999999973,4.955254352806474,1.606267620502289,6.561521973308762
721,2024,Aidan Shaw,Missouri,81,So,3062.0,8.189599999999999,8.034342501369954,-1.477416355890762,6.556926145479192
722,2024,Jemarl Baker Jr.,New Mexico,77,Sr,1734.0,6.3160000000000025,2.6338592717445164,3.9065762948083025,6.540435566552819
723,2024,Abdou Tsimbila,Fordham,81,Sr,3655.0,0.6188000000000073,0.6500372156275072,5.87110513215383,6.521142347781337
724,2024,Jalen Terry,DePaul,72,Sr,5580.0,15.754400000000004,0.5643326826418278,5.938340021128731,6.502672703770559
725,2024,Josh Earley,Southeast Missouri State,79,Sr,4030.0,-7.3466999999999985,4.164649561916499,2.335648439437451,6.50029800135395
726,2024,Tim Dalger,Saint Louis,79,Sr,6828.0,4.834299999999999,5.200942870245661,1.286569412515802,6.487512282761463
727,2024,Brendan Hausen,Villanova,76,So,1712.0,9.419000000000011,0.7301471854526942,5.748922775059791,6.479069960512485
728,2024,Barry Evans,St. Bonaventure,80,So,3506.0,2.0456999999999965,5.628371354253523,0.8451749124353175,6.473546266688841
729,2024,Dishon Jackson,Charlotte,83,Jr,4169.0,1.3863000000000056,-0.9040404026026344,7.376892165399824,6.472851762797189
730,2024,Collin Holloway,Tulane,78,Jr,5783.0,2.9631999999999863,-0.1305313031639638,6.5877146726719635,6.457183369508
731,2024,Jordan Wright,LSU,78,Sr,3118.0,8.357199999999992,-0.8171225094572119,7.259284644857355,6.442162135400143
732,2024,Isaiah Jones,Oakland,79,So,1977.0,-1.7556000000000012,0.5558827358302505,5.881018553935764,6.4369012897660145
733,2024,Qwanzi Samuels,IU Indianapolis,81,Sr,3542.0,-3.170100000000005,-0.1737913277796297,6.587206574687145,6.413415246907515
734,2024,Koby Brea,Dayton,79,Jr,2744.0,7.36699999999999,6.588657576411482,-0.1780150545641623,6.410642521847319
735,2024,Evan Mahaffey,Ohio State,78,So,2378.0,9.134100000000004,2.5039724097428717,3.8972512742101353,6.401223683953007
736,2024,Keion Brooks Jr.,Washington,79,Sr,7375.0,9.718500000000006,1.3601261936170923,5.033867817120516,6.393994010737608
737,2024,Anthony Holland,Washington,77,Sr,2589.0,7.071399999999997,-0.7228452622983261,7.109697722665335,6.38685246036701
738,2024,Jalen Jackson,Western Kentucky,74,So,671.0,-6.270400000000009,4.601751157884593,1.7719254695242848,6.373676627408877
739,2024,Max Abmas,Texas,72,Sr,3474.0,10.5214,0.0163467476591803,6.353728316080323,6.370075063739503
740,2024,Juslin Bodo Bodo,High Point,83,Fr,2873.0,-3.863599999999991,-1.2745833152922308,7.603788763843076,6.329205448550844
741,2024,Darius Brown II,Utah State,74,Sr,3670.0,6.532899999999998,-4.762881630206726,11.090250119584908,6.327368489378182
742,2024,Glenn Taylor Jr.,St. John's,78,Jr,3600.0,11.31710000000001,1.29720696162948,5.0301537649174115,6.327360726546892
743,2024,K.D. Johnson,Auburn,72,Sr,1821.0,9.040999999999997,4.301095924161461,2.0216525016792946,6.322748425840755
744,2024,Wade Taylor IV,Texas A&M,72,Jr,3430.0,12.03240000000001,3.414485887748485,2.901870131328238,6.316356019076723
745,2024,Will McClendon,UCLA,74,So,3903.0,7.268200000000007,4.158575154749544,2.1492312168755676,6.307806371625111
746,2024,Justin Harmon,Illinois,76,Sr,2199.0,11.250699999999997,6.678510652442506,-0.3756723424695609,6.3028383099729455
747,2024,Tre'Von Spillers,App State,79,Jr,3007.0,-1.7335000000000065,2.0277806582789135,4.2727506763618335,6.3005313346407466
748,2024,Antwan Burnett,Grambling,77,So,2153.0,-8.616799999999998,1.8842030338058888,4.412724181675827,6.296927215481716
749,2024,Keyshaun Langley,UNC Greensboro,73,Sr,5936.0,-0.8789999999999907,5.3146232675501155,0.9699567314274442,6.284579998977559
750,2024,Terrence Shannon Jr.,Illinois,78,Sr,3216.0,11.917000000000002,3.2049227463117815,3.077989459270088,6.282912205581869
751,2024,Michael Duax,Northern Iowa,78,So,2639.0,3.736699999999999,-3.585801472748149,9.860948863659358,6.275147390911209
752,2024,Darius Hannah,Bradley,81,Sr,2326.0,3.92779999999999,8.359353346660631,-2.1035907976604875,6.255762549000144
753,2024,Jackie Johnson III,UNLV,71,Jr,1357.0,6.328500000000005,6.7158890404870695,-0.4636995378511344,6.252189502635935
754,2024,Taeshaud Jackson,VMI,78,So,6249.0,-0.6269999999999953,1.0147264256501818,5.211072503296587,6.2257989289467695
755,2024,Jadrian Tracey,Oregon,77,Jr,2767.0,9.755399999999996,2.7243770414167456,3.5011949271409346,6.225571968557681
756,2024,Brooks Barnhizer,Northwestern,78,Jr,3443.0,10.051299999999998,6.73570939997664,-0.5108634045599523,6.224845995416688
757,2024,Chico Carter Jr.,DePaul,75,Sr,12211.0,9.9037,4.679044841545057,1.5145335645106126,6.19357840605567
758,2024,Dominique Daniels Jr.,California Baptist,70,So,9320.0,-3.939700000000002,5.069119602050992,1.1165798006499807,6.185699402700973
759,2024,Seydou Traore,Manhattan,79,Fr,5298.0,-3.6862999999999886,9.024298980269265,-2.83909807881755,6.185200901451713
760,2024,Damian Forrest,North Alabama,82,Sr,6256.0,-4.746000000000009,-0.4390244817196862,6.6206727704521295,6.181648288732443
