player_name,team,year,unassisted_dunks_100,unassisted_rim_makes_100,unassisted_mid_makes_100,unassisted_3pm_100,unassisted_points_100
Kevin Harden,Purdue Fort Wayne,2014,0.000000,0.000000,0.000000,1.909891,5.729673
Pierre Bland,Purdue Fort Wayne,2014,0.000000,3.726107,0.733930,0.338737,9.936286
Keenan Palmore,Old Dominion,2014,0.183357,4.522806,2.200284,0.000000,13.446180
Thierno Niang,Milwaukee,2014,0.000000,1.580782,0.790391,0.000000,4.742348
Jordan Aaron,Milwaukee,2014,0.000000,2.524475,1.174174,1.467718,11.800452
Zach Moer,Air Force,2014,0.000000,1.502385,0.000000,0.000000,3.004770
Tre' Coggins,Air Force,2014,0.000000,1.492961,2.103717,0.746480,9.432797
Austin Arians,Milwaukee,2014,0.052050,0.676651,0.572551,0.052050,2.654556
Ethan Michael,Air Force,2014,0.000000,1.690182,0.000000,0.000000,3.380365
Lawrence Paye,Houston,2014,0.000000,0.000000,0.000000,0.000000,0.000000
Gregory Graves,Mount St. Mary's,2014,0.079787,2.313834,0.718087,0.000000,6.063842
Kevin Chuisseu,Furman,2014,0.000000,0.000000,2.372316,0.000000,4.744632
Brandon Morris,Houston,2014,0.000000,1.420421,0.355105,0.177553,4.083709
Matt Hunter,Central Connecticut,2014,0.584477,4.480991,0.974129,0.000000,10.910240
Khalen Cumberlander,Central Connecticut,2014,0.165652,2.733263,0.082826,0.331305,6.626091
Andrew Hurd,Central Connecticut,2014,0.000000,0.000000,2.291523,0.000000,4.583047
Brandon Peel,Central Connecticut,2014,0.000000,1.928235,0.419181,0.000000,4.694833
Rod Mcreynolds,Jacksonville St.,2014,0.000000,0.000000,5.978540,5.978540,29.892700
Tavon Allen,Drexel,2014,0.000000,2.063358,3.438930,0.076421,11.233838
Raven Lee,Eastern Michigan,2014,0.085522,2.907738,2.480130,0.769695,13.084822
Wade Moody,North Carolina,2014,0.000000,0.000000,0.000000,0.000000,0.000000
Codi Miller-McIntyre,Wake Forest,2014,0.113739,4.037750,1.535482,0.341218,12.170119
Luke Davis,North Carolina,2014,0.000000,0.000000,0.432892,0.000000,0.865783
Raemond Robinson,The Citadel,2014,0.000000,0.262454,0.787361,0.524907,3.674349
Quinton Marshall,The Citadel,2014,0.000000,2.930301,1.551336,0.000000,8.963275
Martavious Newby,Mississippi,2014,0.000000,1.790366,0.298394,0.000000,4.177520
Derrick Millinghaus,Mississippi,2014,0.000000,3.066099,1.585914,0.000000,9.304026
Marshall Henderson,Mississippi,2014,0.183512,0.734050,1.162246,1.529271,8.380403
Anthony Perez,Mississippi,2014,0.088654,1.418457,1.063843,0.265961,5.762483
Trevor Cooney,Syracuse,2014,0.300248,1.020843,0.780645,0.600496,5.404462
Danuel House,Houston,2014,0.258587,1.810108,1.810108,0.344782,8.274779
Tione Womack,Houston,2014,0.000000,0.665252,1.710649,0.095036,5.036911
Keith Belfield,Furman,2014,0.000000,1.149847,0.431193,0.287462,4.024465
Dauson Womack,Houston Christian,2014,0.000000,1.399985,0.233331,0.000000,3.266632
Brandon Pye,Texas A&M Corpus Chris,2014,0.000000,0.105903,0.953123,0.105903,2.435759
Caleb Crayton,Houston Christian,2014,0.185423,2.039650,1.297959,0.092711,6.953352
Joy Williamson,Texas A&M Corpus Chris,2014,0.537017,2.761800,0.843883,0.076717,7.441517
Curtis Oakley,Bryant,2014,0.000000,1.103131,0.919275,0.000000,4.044812
Cole Martinez,Texas A&M Corpus Chris,2014,0.000000,0.497092,0.497092,0.000000,1.988367
Alex Austin,Eastern Illinois,2014,0.227120,0.908480,0.340680,0.000000,2.498320
Colby Long,Southern Illinois,2014,0.000000,0.000000,0.000000,0.000000,0.000000
Deshone McClure,Central Arkansas,2014,0.264637,1.389344,1.786300,0.595433,8.137588
Ammanuel Diressa,Tennessee Tech,2014,0.000000,2.083588,0.694529,0.694529,7.639822
Quinton Pippen,Chicago St.,2014,0.000000,1.536930,1.291022,2.151703,12.111011
Shaq Goodwin,Memphis,2014,0.412646,2.416925,0.530545,0.000000,5.894940
Marese Phelps,Norfolk St.,2014,0.000000,1.004311,0.602586,0.301293,4.117673
Matt Ross,Chicago St.,2014,0.058150,2.500453,0.930401,0.058150,7.036159
Kale Abrahamson,Northwestern,2014,0.000000,0.628093,0.502474,0.000000,2.261133
Alex Olah,Northwestern,2014,0.000000,1.445980,1.906065,0.000000,6.704089
Nate Engesser,Denver,2014,0.000000,0.900710,0.540426,0.360284,3.963123
Ben Carter,Oregon,2014,0.180825,1.265775,0.361650,0.000000,3.254850
Aaron Short,Pacific,2014,0.106755,1.387812,0.320264,0.533774,5.017473
Jerrold Brooks,Southern Miss,2014,0.000000,1.057904,0.528952,0.528952,4.760570
Michael Craig,Southern Miss,2014,0.630815,2.444409,2.602113,0.000000,10.093043
Jamie Chapman,Southern Miss,2014,0.000000,0.000000,0.000000,0.000000,0.000000
Tomas Sanchez,Idaho St.,2014,0.000000,2.133991,0.889163,0.889163,8.713797
Chris Hansen,Idaho St.,2014,0.000000,1.952471,1.627059,0.715906,9.306776
Greg Louis,Penn,2014,0.506084,0.506084,0.000000,0.000000,1.012168
Trent Whiting,Arkansas Pine Bluff,2014,0.000000,1.302042,0.162755,0.162755,3.417861
Mike Gesell,Iowa,2014,0.000000,2.320744,1.232895,0.217570,7.759989
Nikola Gajic,Stephen F. Austin,2014,0.159546,1.994326,0.398865,0.079773,5.025702
Jamel Waters,Alabama St.,2014,0.000000,1.779264,3.902901,0.688747,13.430571
Jalen Robinson,Dayton,2014,0.000000,2.519801,1.458832,0.000000,7.957267
James Montgomery III,Northwestern,2014,0.000000,0.000000,0.874760,0.000000,1.749520
Cedric Blossom,Morgan St.,2014,0.078063,2.498016,0.546441,0.000000,6.088914
Rasean Simpson,Morgan St.,2014,0.000000,0.000000,0.000000,0.000000,0.000000
Omar Calhoun,Connecticut,2014,0.000000,0.570638,1.141276,0.000000,3.423828
Quinn Sterling,Washington,2014,0.000000,0.000000,0.000000,0.000000,0.000000
Olaf Schaftenaar,Oregon St.,2014,0.000000,0.429332,0.214666,0.214666,1.931995
Victor Robbins,Oregon St.,2014,0.000000,1.645023,0.470007,0.235003,4.935070
Langston Morris-Walker,Oregon St.,2014,0.000000,0.444285,0.222142,0.111071,1.666067
Joey Miller,Illinois Chicago,2014,0.000000,2.795900,0.000000,1.397950,9.785650
Corey Arentsen,Austin Peay,2014,0.000000,0.229516,0.000000,0.688548,2.524677
Micah Mason,Duquesne,2014,0.000000,0.815537,0.570876,0.652430,4.730115
R.J. Hunter,Georgia St.,2014,0.290337,1.219415,1.103280,0.987145,7.606825
